cocktail1,cocktail1freq,cocktail2,cocktail2freq,cocktail3,cocktail3freq,cocktail4,cocktail4freq,cocktail5,cocktail5freq
slow cocktail,2.0,cocktail ice,2.0,cocktail definit,4.0,wonder cocktail,8.0,cocktail live,12
took cocktail,2.0,cocktail bit,2.0,ginger cocktail,3.0,cocktail could,8.0,cocktail right,12
inspir cocktail,2.0,next cocktail,2.0,cocktail time,3.0,includ cocktail,8.0,fresh cocktail,12
cocktail tip,2.0,gin cocktail,2.0,cocktail share,3.0,cocktail especi,8.0,cocktail top,12
staff cocktail,2.0,cocktail fri,2.0,hope cocktail,3.0,cocktail point,8.0,cocktail everi,12
disappoint cocktail,2.0,notaddgood cocktail,2.0,normal cocktail,3.0,atmospher cocktail,8.0,cocktail first,12
waitress cocktail,2.0,dozen cocktail,2.0,cocktail half,3.0,fruiti cocktail,8.0,cocktail hous,12
cocktail thought,2.0,cocktail suppos,2.0,cocktail tree,3.0,perfect cocktail,8.0,gin cocktail,12
cocktail happi,2.0,cocktail select,2.0,lemon cocktail,3.0,qualiti cocktail,8.0,went cocktail,12
cocktail paid,2.0,fashion cocktail,2.0,cocktail call,3.0,oyster cocktail,8.0,cocktail lot,12
cocktail staff,2.0,hour cocktail,2.0,recommend cocktail,3.0,littl cocktail,8.0,spot cocktail,12
cocktail strip,2.0,look cocktail,2.0,cocktail expens,3.0,cocktail has,8.0,cocktail see,12
pillow cocktail,2.0,cocktail still,2.0,took cocktail,3.0,complimentari cocktail,8.0,tequila cocktail,12
vega cocktail,2.0,notaddcraft notaddcocktail,2.0,cocktail meal,3.0,custom cocktail,8.0,cocktail littl,12
cocktail brought,2.0,cocktail bacon,2.0,notaddcocktail notaddsauc,3.0,cocktail view,8.0,want cocktail,12
last cocktail,2.0,cocktail definit,2.0,cocktail worth,3.0,cocktail reason,8.0,cocktail solid,12
extra cocktail,2.0,cocktail super,2.0,cocktail nice,3.0,solid cocktail,8.0,tiki cocktail,12
peopl cocktail,2.0,cocktail wow,2.0,cocktail jack,3.0,cocktail seem,8.0,staff cocktail,11
cocktail could,2.0,cocktail much,2.0,experi cocktail,3.0,bite cocktail,8.0,look cocktail,11
cocktail great,2.0,cocktail prici,2.0,decid cocktail,3.0,horseradish cocktail,8.0,extens cocktail,11
